Nota_Matematica,Nota_Portugues,Nota_Historia,Frequencia,Situacao
54,93,89,78,Reprovado
98,18,39,78,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
54,93,89,78,Reprovado
98,93,21,78,Reprovado
98,93,39,65,Reprovado
98,44,89,78,Reprovado
29,93,39,78,Reprovado
54,93,39,78,Reprovado
98,93,89,78,Aprovado
98,93,39,78,Reprovado
98,44,89,78,Reprovado
98,93,39,78,Reprovado
98,18,39,78,Reprovado
98,44,89,78,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
98,44,89,78,Reprovado
98,93,39,47,Reprovado
98,44,39,78,Reprovado
98,44,89,78,Reprovado
54,93,89,78,Reprovado
98,93,89,65,Reprovado
98,93,89,65,Reprovado
98,44,89,78,Reprovado
98,93,89,78,Aprovado
98,93,21,65,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
29,93,89,78,Reprovado
29,44,89,78,Reprovado
54,93,21,65,Reprovado
98,44,21,65,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
98,44,89,78,Reprovado
98,93,89,65,Reprovado
98,44,89,65,Reprovado
54,93,89,65,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
98,93,39,78,Reprovado
98,93,89,65,Reprovado
98,93,89,78,Aprovado
98,93,89,78,Aprovado
29,93,21,78,Reprovado
54,93,89,78,Reprovado
